волна	длит_игр	длит_реал	врагов	путь_гексов	путь_макс%	путь_ср%	руда_трат	руда_сек	руда_доб	майнер_гексов	руда_центр	руда_серед	руда_конец	до_0	до_1	до_2	до_3	до_4	до_5	0->1	1->2	2->3	3->4	4->5	hp_игрока	lvl_игрока	xp_всего	пропущено_врагов	руда_всего
21	59.7	14.9	13	258	32	22	47	3.2	23	11	12	30	5	77	46	0	0	0	0	12.1	0.0	0.0	0.0	0.0	100	3	2710	0	308
22	16.7	4.1	12	260	9	8	12	2.8	24	12	6	6	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	3	2830	0	320
23	102.0	25.5	14	271	91	66	63	2.5	32	13	10	53	0	93	93	86	71	57	14	8.7	17.1	19.4	10.8	17.5	100	3	2970	0	383
24	30.7	7.7	14	295	30	19	24	3.1	31	14	7	8	9	57	7	0	0	0	0	6.9	0.0	0.0	0.0	0.0	100	3	3110	0	407
25	18.3	4.6	14	133	17	16	6	1.3	22	15	3	3	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	3	3250	0	413
26	135.7	33.9	16	350	73	55	74	2.2	46	15	14	60	0	94	88	81	56	31	0	16.1	31.0	32.1	11.0	0.0	100	3	3410	0	490
27	43.3	10.8	20	354	20	15	21	1.9	31	15	8	12	0	25	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	3610	0	510
28	22.8	5.7	28	133	16	14	8	1.3	22	15	4	4	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	3890	0	521
29	52.6	13.1	24	388	23	17	36	2.8	27	15	12	15	9	50	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	4130	0	557
30	28.4	7.1	1	133	16	16	19	2.7	26	15	8	11	0	100	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	4140	0	576
31	114.1	28.5	12	438	37	19	47	1.7	39	16	9	38	0	42	25	0	0	0	0	32.3	0.0	0.0	0.0	0.0	100	4	4260	0	623
32	166.8	41.7	12	454	78	35	68	1.6	49	17	9	60	0	58	50	33	25	17	0	28.0	36.6	27.5	14.1	0.0	100	4	4380	0	695
33	95.3	23.8	12	458	33	13	40	1.7	38	18	8	32	0	83	17	8	0	0	0	18.9	4.9	0.0	0.0	0.0	100	4	4500	0	735
34	135.2	33.8	20	462	49	25	43	1.3	40	19	9	32	3	65	45	5	0	0	0	26.5	45.0	0.0	0.0	0.0	100	4	4700	0	781
35	23.3	5.8	15	462	9	8	16	2.8	29	20	4	2	10	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	4850	0	798
36	59.1	14.7	12	476	23	19	20	1.3	34	20	8	10	1	75	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	4970	0	817
37	29.6	7.4	55	486	6	6	17	2.2	32	20	3	3	10	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	4	5520	0	834
38	32.6	8.1	20	490	8	7	9	1.1	34	20	3	5	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	5	5720	0	845
39	28.8	7.2	10	514	9	8	13	1.9	32	20	6	6	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	100	5	5820	0	861
40	227.3	63.5	3	551	100	61	74	1.2	55	20	26	41	7	100	100	67	33	33	33	23.0	51.1	39.9	19.0	20.4	85	5	5840	1	938
